AGV1 attente à prod1,AGV1 prod1 à warehouse,AGV1 warehouse à attente,AGV2 attente à warehouse,AGV2 warehouse à client 2,AGV2 client 2 à attente,temps déposer,temps récupérer
"25,92","29,21","15,06","26,98","27,54","19,7","16,43","17,5"
"26,66","24,38","16,92","27,64","26,38","22,46","17,27","19,29"
"26,33","21,39","18,03","29,01","29,26","20,18","18,78","18,46"
"27,94","29,1",22,26,"31,07",22,"18,88","17,12"
"26,61","21,72",18,31,"29,71","23,12","18,32","17,98"
26,"29,23",20,29,"31,77",22,17,16
"26,47",27,"16,8","26,3","31,11","22,3","18,29","18,44"
"25,1",23,"17,55","29,58","31,02","19,78","18,49","18,83"
"26,2","28,89","18,7","29,65",32,"20,7",18,18
"27,1","22,63","17,05","29,08",28,22,"17,79","17,47"
"25,73","25,51","18,05","31,37","31,2","22,7","18,34","19,74"
"27,24",29,"18,72","28,84","32,48","19,69","17,04","18,24"
"26,94","30,44","19,76","31,35",29,"17,83","17,38","18,2"
"28,32","28,27","18,53","30,57","28,76","21,3","17,9","19,03"
"27,52","29,41","19,23","29,17","31,55","19,29","18,36","19,8"
"27,24","27,845","18,72","28,84","31,69","22,92","18,56","18,7"
"26,94","29,34","19,76","31,35",32,19,"16,2","17,9"
"28,32","28,69","18,53","30,57","30,13","21,5","17,9","17,4"
"27,57","29,9",19,"29,17","31,37","30,33","18,1","18,28"
"24,32","28,02",20,"31,3","30,91","19,28",19,"17,34"
30,"31,58","19,06","31,1","29,2",20,"18,01","17,89"
26,"21,73","18,3","33,8","31,1","22,38","17,23","16,72"
"27,6","27,03","18,5","29,6",32,"19,78","17,9","18,13"
"27,15","20,96","19,84","29,62","32,41","21,2","18,36","17,73"
"27,94",28,"17,55","30,23","32,42","20,3","18,5",18
27,"20,12","18,7",28,32,"28,65","18,12","17,5"
28,"26,63",18,27,"32,5","22,4","16,57","16,35"
"25,1","28,1","17,4",30,"32,15","21,06","18,11","18,29"
"27,09","26,1","18,38","30,1","32,78","19,78","18,9","18,36"
"27,03","25,78","17,55","30,5","29,47","18,61","18,9","16,25"
"25,79","29,34","16,83","31,06",30,"20,35","16,67","15,9"
28,"26,63",17,"29,58","31,37",21,"18,5","15,99"
"27,74","28,69","17,27","29,6","30,91","20,5","17,54","18,24"
"25,1","29,9","17,8","28,92","29,2","22,4","17,12",19
"24,81","28,02","17,6","29,5","31,1","21,93","17,5",18
"26,24","28,1",21,"30,74","32,15","18,56","18,81","17,78"
"24,9","26,1","15,95","29,58","32,78","23,44",17,19
"26,28","27,81","19,49","28,48","29,47",20,18,"18,58"
"27,95","26,06","19,37","27,2","31,8",19,17,18
"27,41",29,"18,9",30,32,"22,3",16,18
26,"28,75",,"27,4",32,"20,73",17,"16,4"
"24,18","29,05",,30,34,"20,8","17,57","17,2"
"25,21","28,69",,"30,56",28,,"16,13","17,5"
24,"26,05",,"30,58",30,,"18,03","18,67"
,30,,29,"19,75",,16,"17,66"
,"27,5",,"27,04","18,28",,"18,52","17,67"
,27,,"29,08","31,5",,"18,54","17,26"
,"28,51",,"29,05","32,11",,"17,21","18,1"
,"27,03",,"27,6","31,55",,"16,79",
,"28,9",,,30,,"19,43",
,29,,,"32,3",,"19,06",
,"29,2",,,"28,29",,"20,89",
,"27,5",,,"31,5",,"19,39",
,"27,51",,,"32,42",,"18,06",
,"27,12",,,"31,4",,"19,41",
,"28,2",,,30,,22,
,29,,,"29,67",,,
,"27,83",,,"31,5",,,
,"28,69",,,"31,98",,,
,"27,03",,,"32,3",,,
,"27,98",,,"32,26",,,
,"27,01",,,"31,76",,,
,"28,67",,,"31,4",,,
,"27,03",,,"32,8",,,
,"25,26",,,"31,55",,,
,"27,5",,,"30,12",,,
,"25,9",,,"27,46",,,
,"27,03",,,"29,7",,,
,"25,26",,,"30,55",,,
,"27,5",,,"32,42",,,
,"25,9",,,"30,88",,,
,27,,,"29,4",,,
,29,,,32,,,
,29,,,"28,8",,,
,"28,26",,,"31,2",,,
,"24,3",,,"30,71",,,
,"28,06",,,"31,98",,,
,"25,84",,,"28,17",,,
,28,,,"26,26",,,
,"28,76",,,28,,,
,"30,51",,,32,,,
,"32,37",,,"31,44",,,
,"30,69",,,"32,54",,,
,"26,27",,,"28,78",,,
,"29,8",,,"27,16",,,
,"26,3",,,"19,3",,,
,"28,75",,,"30,48",,,
,"25,04",,,"31,23",,,
,"32,5",,,32,,,
,"31,65",,,"30,5",,,
,"26,94",,,"33,24",,,
,"31,22",,,"32,01",,,
,"31,78",,,"30,73",,,
,"25,49",,,"32,78",,,
,"25,19",,,"32,36",,,
,"29,2",,,"33,22",,,
,,,,"29,34",,,
,,,,"33,56",,,
,,,,"31,77",,,
,,,,"27,7",,,
,,,,"28,3",,,
,,,,"29,3",,,
,,,,,,,
,,,,,,,
MOYENNES:,,,,,,,
"24,96","29,205","16,98","27,29","28,42","20,25","19,215","17,38"
ECART-TYPE,,,,,,,
"1,35764502","0,007071067812","2,71529004","0,4384062043","1,244507935","0,7778174593","3,938584771","0,1697056275"
INTERVALLE DE CONFIANCE,,,,,,,
"0,4708197064","0,001670220436","0,9865042404","0,1442335682","0,2852684326","0,275942197","1,213605197","0,0563991894"
BORNE SUPERIEUR,,,,,,,
"25,43081971","29,20667022","17,96650424","27,43423357","28,70526843","20,5259422","20,4286052","17,43639919"
BORNE INFERIEUR,,,,,,,
"24,48918029","29,20332978","15,99349576","27,14576643","28,13473157","19,9740578","18,0013948","17,32360081"